Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Department
CSCI-495,Senior Project,,2.0 units,Lecture,50526D,1.0,TBA,,10.0,0.0,0.0,,OFFICE,CSCI
CSCI-502a,Numerical Analysis,P,3.0 units,Lecture,39700R,1.0,9:00-9:50am,MWF,25.0,0.0,0.0,,KAP265,CSCI
CSCI-505a,Applied Probability,,3.0 units,Lecture,39710R,1.0,1:00-1:50pm,MWF,45.0,0.0,0.0,,KAP146,CSCI
CSCI-510,Software Management and Economics,,4.0 units,Lecture,30070D,48.0,2:00-5:20pm,Monday,75.0,0.0,0.0,Mahdi Eslamimehr,SOSB46,CSCI
CSCI-513,Autonomous Cyber-Physical Systems,,4.0 units,Lecture,30161D,48.0,2:00-5:20pm,Monday,80.0,0.0,0.0,Jyotirmoy Deshmukh,GFS116,CSCI
CSCI-517,Research Methods and Analysis for User Studies,,4.0 units,Lecture,32454D,48.0,8:00-11:20am,Monday,120.0,0.0,0.0,,OHE122,CSCI
,,,,Lecture,32456D,34.0,8:00-11:20am,Monday,30.0,0.0,0.0,,DEN@Viterbi,CSCI
CSCI-522,Game Engine Development,,4.0 units,Lecture,30183D,48.0,7:00-10:20pm,Monday,90.0,0.0,0.0,Artjoms Kovalovs,WPHB27,CSCI
CSCI-526,Advanced Mobile Devices and Game Consoles,,4.0 units,Lecture,30039D,48.0,1:00-4:20pm,Tuesday,90.0,0.0,0.0,Scott Easley,SCI108,CSCI
,,,,Lecture,30130D,48.0,1:00-4:20pm,Friday,90.0,0.0,0.0,Scott Easley,SCI108,CSCI
CSCI-529a,Graduate Advanced Game Project,,4.0 units,Lecture,29992D,48.0,2:00-5:20pm,Thursday,50.0,0.0,0.0,Andrew Nealen,EGG108,CSCI
CSCI-530,Security Systems,P,4.0 units,Lecture,30015D,48.0,9:00-11:50am,Friday,120.0,0.0,0.0,Clifford Neuman,OHE122,CSCI
,,,,Lab,30017R,48.0,4:30-5:20pm,Friday,120.0,0.0,0.0,,OHE122,CSCI
,,,,Lecture,30014D,34.0,9:00-11:50am,Friday,30.0,0.0,0.0,Clifford Neuman,DEN@Viterbi,CSCI
,,,,Lab,30016R,34.0,4:30-5:20pm,Friday,30.0,0.0,0.0,,DEN@Viterbi,CSCI
CSCI-536,Linear Programming and Extensions,,4.0 units,Lecture,31536D,48.0,4:00-5:50pm,"Tue, Thu",30.0,0.0,0.0,Niloufar Izadinia,DMC157,CSCI
CSCI-544,Applied Natural Language Processing,,4.0 units,Lecture,30249D,48.0,4:00-5:50pm,"Tue, Thu",260.0,0.0,0.0,Jieyu Zhao,SAL101,CSCI
CSCI-545,Robotics,,4.0 units,Lecture,30167D,48.0,4:00-7:20pm,Thursday,70.0,0.0,0.0,,SLH102,CSCI
,,,,Lecture,29975D,48.0,2:00-3:50pm,"Mon, Wed",70.0,0.0,0.0,Daniel Seita,LVL17,CSCI
,,,,Lab,30226R,48.0,8:00-9:50am,Friday,70.0,0.0,0.0,,RTH419,CSCI
CSCI-547,Robot Dynamics and Control,,4.0 units,Lecture,29099R,48.0,2:30-5:50pm,Monday,37.0,0.0,0.0,Quang Nguyen,DMC201,CSCI
CSCI-550,Advanced Data Stores,P,4.0 units,Lecture,30223D,48.0,10:00-11:50am,"Tue, Thu",60.0,0.0,0.0,Ibrahim Sabek,DMC156,CSCI
CSCI-551,Computer Networking,P,4.0 units,Lecture,29900D,48.0,10:00-11:50am,"Mon, Wed",41.0,0.0,0.0,John Heidemann,OHE100D,CSCI
,,,,Lecture,30009D,34.0,10:00-11:50am,"Mon, Wed",30.0,0.0,0.0,John Heidemann,DEN@Viterbi,CSCI
CSCI-554,Cyber-Physical Systems: A Computing Perspective,,4.0 units,Lecture,30411R,48.0,8:00-9:50am,"Mon, Wed",50.0,0.0,0.0,Paul Bogdan,ZHS352,CSCI
,,,,Discussion,30413R,1.0,-,,50.0,0.0,0.0,,TBA,CSCI
,,,,Lab,30412R,48.0,9:00-9:50am,Friday,50.0,0.0,0.0,,GFS101,CSCI
CSCI-557,Computer Systems Architecture,P,4.0 units,Lecture,30628D,34.0,2:00-3:50pm,"Tue, Thu",20.0,0.0,0.0,Murali Annavaram,DEN@Viterbi,CSCI
,,,,Lecture,30630R,48.0,2:00-3:50pm,"Tue, Thu",82.0,0.0,0.0,Murali Annavaram,OHE132,CSCI
