Course number,Course title,Instructor
PSYC-450,Neural Network Models of Social and Cognitive Processes,Stephen Read
PSYC-452,Social Neuroscience,Leor Hackel
PSYC-459,Industrial/Organizational Psychology,Maura Harrington Roggero
PSYC-464,Psychology of Marriage and the Family,Patricia George
PSYC-468,Happiness: Research in Neuroscience and Positive Psychology,Patricia George
PSYC-490x,Directed Research,Antoine Bechara
PSYC-501L,Classic and Modern Statistical Methods I,Rand Wilcox
PSYC-505,Research Methods in Applied Social Psychology,Meredith Lepley
,,Meredith Lepley
,,
PSYC-509,Qualitative Research Methods in Applied Psychology,
,,
PSYC-512,Seminar in Social Psychology,Daphna Oyserman
PSYC-514,Psychopathology,Jonathan Stange
PSYC-515,Clinical Assessment,Duke Han Jenna Axelrod
,,Jenna Axelrod Duke Han
PSYC-517,Group Dynamics and Leadership,Lauren Young
PSYC-519,Professional Issues for Clinical Scientists,Brittany Beasley
PSYC-521,Cross Cultural Psychology in Applied Settings,Michael Nguyen
PSYC-523,User Experience (UX) Research,Jason Buhle
PSYC-530,Concepts and Principles of Behavior Analysis,Megan Aclan
PSYC-531,Behavioral Assessment,Michael Cameron
PSYC-532,Ethics for Behavior Analysts,Sneha Mathur
PSYC-533,Applied Developmental Psychology,
PSYC-547,Functional Neuroanatomy,Antoine Bechara
PSYC-550a,Proseminar in Human Behavior,
PSYC-551,Decision Neuroscience,Payam Piray
PSYC-552,Principles of Consumer Psychology,Steven Westberg
,,
,,Steven Westberg
PSYC-555,Introduction to Functional Magnetic Resonance Imaging,Jonas Kaplan
PSYC-565x,Organizational Psychology,
PSYC-571,Foundations of Statistical and Data Analytic Methods in Psychology,Canan Ipek
PSYC-575L,Multilevel Modeling,Hok Chio (Mark) Lai
PSYC-576,Psycholinguistics,
PSYC-577,Analysis of Covariance Structures,Christopher Beam
PSYC-587,Practicum in Applied Behavior Analysis,Michael Cameron
,,Megan Aclan
PSYC-590,Directed Research,
,,Antoine Bechara
PSYC-593,Practicum in Teaching Psychology,Sourena Haj-Mohamadi
PSYC-594a,Master's Thesis,Antoine Bechara
,,Jonathan Tarbox
PSYC-594b,Master's Thesis,Antoine Bechara
PSYC-594z,Master's Thesis,Jonathan Tarbox
PSYC-595,Practicum in Clinical Psychology,Latonya Huey
,,Gerald Davison
PSYC-596,Advanced Behavioral Theory,Jonathan Tarbox
PSYC-597,Internship for Curricular Practical Training,Antoine Bechara
,,Antoine Bechara
PSYC-597a,Capstone Project in Behavioral Analysis,Sneha Mathur
PSYC-599,Special Topics,
,Computational Models of Cognition,Nina Rouhani
PSYC-612,Seminar in Advanced Social Psychology,Leor Hackel
PSYC-626,Text as Data,Morteza Dehghani
PSYC-676,Seminar in Psycholinguistics,
PSYC-691a,Internship in Clinical Psychology,Darby Saxbe
PSYC-695,Advanced Practicum in Clinical Psychology,Christopher Beam
,,
,,Brittany Beasley
,,Lauren Shapiro
PSYC-696,Externship for Practical Training,Brittany Beasley
PSYC-790,Research,Antoine Bechara
PSYC-794a,Doctoral Dissertation,Antoine Bechara
PSYC-794b,Doctoral Dissertation,Antoine Bechara
PSYC-794c,Doctoral Dissertation,Antoine Bechara
PSYC-794d,Doctoral Dissertation,Antoine Bechara
PSYC-794z,Doctoral Dissertation,Antoine Bechara
COMM-200,Communication and Social Science,Jillian Pierson
,,
,,
,,
,,
COMM-204,Public Speaking,Rook Campbell
,,Adam Navarro
,,Perry Johnson
,,Adam Navarro
,,Michael Wissot
,,
,,Adam Navarro
,,
COMM-205x,Communication Practicum,
COMM-206,Communication and Culture,Alison Trope
,,
,,
,,
,,
COMM-209,Communication and Media Economics,Hernan Galperin
,,
,,
,,
COMM-301Lg,Empirical Research in Communication,Carmen Lee
COMM-302,Persuasion,Sean Kennedy
COMM-304,Interpersonal Communication,Jillian Pierson
COMM-305,Understanding Social Science Research,Marlon Twyman
COMM-309,Communication and Technology,Fran̤ois Bar
COMM-311,Communication and Publics,Daniel Durbin
COMM-312,The Business and Culture of Celebrity,Nazli Offringa
COMM-313,Screen time: How Media Shapes Us,Carmen Lee
COMM-314,The Evolution of K-Pop,Hye Jin Lee
COMM-320,Small Group and Team Communication,Julianna Kirschner
COMM-321,Communication and Social Media,Hye Jin Lee
COMM-322,Argumentation and Advocacy,Carlos Godoy
,,
,,Kiran Dhillon
,,Kiran Dhillon
